city,lng,lat
淮南,116.768535,32.472121
淮安,118.963799,33.352871
深圳,114.128169,22.654397
清远,112.874873,24.31287
温州,120.441912,27.904489
渭南,109.852729,34.951142
湖州,119.870798,30.745342
湘潭,112.602871,27.731308
湘西土家族苗族,109.726645,28.694308
湛江,110.163896,21.088591
滁州,118.101567,32.544429
滨州,117.837932,37.531975
漯河,113.899464,33.655709
漳州,117.443111,24.365953
潍坊,119.071216,36.54636
潜江,112.756069,30.33948
潮州,116.771731,23.796813
澄迈县,109.985635,19.688963
濮阳,115.28114,35.808125
烟台,120.799877,37.239075
焦作,113.129362,35.116596
牡丹江,129.886776,44.596075
玉林,110.181609,22.441116
玉树藏族,94.32097,34.211366
玉溪,102.201921,24.139653
珠海,113.355922,22.167731
琼中黎族苗族自治县,109.850855,19.035161
琼海,110.402751,19.210853
甘南藏族,102.765703,34.320395
甘孜藏族,99.997121,30.949445
白城,123.010231,45.344389
白山,127.283058,42.0689
白沙黎族自治县,109.3478,19.211513
白银,104.62075,36.613346
百色,106.287619,23.985622
益阳,111.950813,28.574785
盐城,120.184259,33.50795
盘锦,121.99932,41.075476
眉山,103.757882,29.92981
石嘴山,106.513358,39.006852
石家庄,114.44033,38.130664
石河子,86.035133,44.305301
神农架林区,110.476995,31.591257
福州,119.179252,26.050174
秦皇岛,119.184308,40.087615
红河哈尼族彝族,103.034548,23.441455
绍兴,120.636416,29.735454
绥化,126.645474,46.89359
绵阳,104.70341,31.848539
聊城,115.880836,36.458654
肇庆,112.204855,23.537958
胡杨河,84.797827,44.805091
自贡,104.682838,29.28665
舟山,122.176318,30.088253
芜湖,118.13437,31.162767
苏州,120.652436,31.382105
茂名,110.951974,22.012724
荆州,112.571837,29.995021
荆门,112.608168,31.069009
莆田,118.89115,25.450245
菏泽,115.690611,35.152426
萍乡,113.902691,27.51272
营口,122.463361,40.391529
葫芦岛,120.197423,40.623782
蚌埠,117.325119,33.108489
衡水,115.824261,37.761596
衡阳,112.574315,26.794186
衢州,118.674711,28.93505
襄阳,111.93687,31.931435
西双版纳傣族,100.943604,21.931608
西宁,101.436785,36.825345
西安,108.791722,34.106632
许昌,113.709708,34.07279
贵港,109.998652,23.308245
贵阳,106.70634,26.84121
贺州,111.360429,24.358016
资阳,105.114836,30.100619
赣州,115.271266,25.707439
赤峰,118.871414,43.220733
辽源,125.304384,42.810644
辽阳,123.246152,41.180681
达州,107.64469,31.366336
运城,111.065586,35.186784
连云港,119.131789,34.53488
迪庆藏族,99.440799,27.957408
通化,125.94948,41.953031
通辽,121.570159,43.816354
遂宁,105.472004,30.631737
遵义,107.084981,28.168126
邢台,114.817171,37.212678
那曲,89.257028,32.736235
邯郸,114.544511,36.551448
邵阳,110.874032,26.912807
郑州,113.467632,34.627172
郴州,113.136123,25.812172
鄂尔多斯,108.629516,39.4122
鄂州,114.754521,30.327872
酒泉,96.055791,40.259826
重庆,107.875163,30.059127
金华,119.952323,29.118249
金昌,102.04715,38.432548
钦州,109.024361,22.182806
铁岭,124.170499,42.642492
铁门关,86.690025,40.551261
铜仁,108.540886,27.971563
铜川,109.032382,35.195724
铜陵,117.556176,30.884091
银川,106.344758,38.280677
锡林郭勒盟,115.483408,44.193066
锦州,121.613626,41.4609
镇江,119.454576,32.016917
长春,125.581647,44.281857
长沙,113.150871,28.22678
长治,112.915617,36.475606
阜新,121.954209,42.279365
阜阳,115.702044,32.917444
防城港,107.998063,21.882122
阳江,111.771981,22.036081
阳泉,113.499391,38.063882
阿克苏,81.549107,40.962547
阿勒泰,88.405437,46.906046
阿坝藏族羌族,102.609085,32.40012
阿拉善盟,102.447642,40.497352
阿拉尔,81.310278,40.598222
阿里,82.557766,33.029843
陇南,105.222364,33.595669
陵水黎族自治县,109.936756,18.573793
随州,113.423642,31.828081
雅安,102.663854,29.912206
青岛,120.141989,36.452914
鞍山,123.012015,40.71413
韶关,113.773748,24.818513
马鞍山,118.368543,31.636858
驻马店,114.149515,32.923649
鸡西,132.283247,45.629056
鹤壁,114.311392,35.721315
鹤岗,130.800711,47.639756
鹰潭,117.108187,28.224182
黄冈,115.338798,30.716686
黄南藏族,101.62689,35.021257
黄山,118.070932,29.906467
黄石,115.024529,29.92754
黑河,126.985592,49.262636
黔东南苗族侗族,108.556931,26.504298
黔南布依族苗族,107.24957,26.014768
黔西南布依族苗族,105.464199,25.266527
龙岩,116.737577,25.292207
齐齐哈尔,124.544248,47.699121
